game_id,season,week,top1_id,top1_p,top1_conf,top1_hit,top2_hit,vol_top1_hit,n_scorers,n_scorers_covered,recall_at2,recall_at3
2022_11_KC_LAC,2022,11,3068267,0.5395626382045957,71.9,1,1,1,3,3,0.6666666666666666,0.6666666666666666
2022_11_LA_NO,2022,11,3054850,0.34563611399988936,74.6,0,0,0,5,3,0.0,0.2
2022_11_LV_DEN,2022,11,4047365,0.4548083079800729,69.8,0,1,0,2,2,0.5,1.0
2022_11_NYJ_NE,2022,11,3925347,0.3557397513674221,50.5,0,0,0,0,0,,
2022_11_PHI_IND,2022,11,4047646,0.44420464332151166,66.5,0,0,1,3,3,0.0,0.3333333333333333
2022_11_WAS_HOU,2022,11,4360238,0.3065091081608039,68.8,0,0,0,2,0,0.0,0.0
2022_11_SF_ARI,2022,11,3045147,0.4609211366139193,65.2,1,1,0,4,4,0.5,0.5
2022_12_BUF_DET,2022,12,2980453,0.5280288320962296,54.2,1,1,1,6,6,0.16666666666666666,0.16666666666666666
2022_12_NE_MIN,2022,12,4569173,0.35822748166832086,59.6,0,0,0,5,5,0.0,0.0
2022_12_NYG_DAL,2022,12,3051392,0.662519256528072,73.8,1,1,1,5,5,0.2,0.4
2022_12_ATL_WAS,2022,12,15807,0.3805863724665648,54.3,0,0,0,3,0,0.0,0.0
2022_12_BAL_JAX,2022,12,3051926,0.39687753636549816,38.5,1,1,0,5,5,0.2,0.2
2022_12_CHI_NYJ,2022,12,4035538,0.5401841790000694,65.7,0,0,0,4,4,0.0,0.25
2022_12_CIN_TEN,2022,12,3043078,0.6258134980610514,94.3,0,1,0,2,2,0.5,0.5
2022_12_DEN_CAR,2022,12,15920,0.5015277787981303,94.5,0,0,0,3,3,0.0,0.3333333333333333
2022_12_GB_PHI,2022,12,4047646,0.57942730782807,62.4,1,1,1,8,8,0.125,0.125
2022_12_HOU_MIA,2022,12,3122976,0.4454671455052984,64.7,1,1,0,4,4,0.25,0.25
2022_12_LAC_ARI,2022,12,3068267,0.663629064803829,86.7,1,1,1,6,6,0.3333333333333333,0.3333333333333333
2022_12_LA_KC,2022,12,15847,0.6414545314683215,88.7,1,1,1,3,2,0.3333333333333333,0.3333333333333333
2022_12_LV_SEA,2022,12,4567048,0.5848355474502549,73.1,1,1,1,7,7,0.2857142857142857,0.2857142857142857
2022_12_NO_SF,2022,12,3126486,0.37949001883830513,58.7,0,0,0,1,1,0.0,0.0
2022_12_TB_CLE,2022,12,16737,0.4233773359041565,49.7,0,0,1,5,4,0.0,0.0
2022_12_PIT_IND,2022,12,4242335,0.38393870784884443,55.1,1,1,1,4,4,0.5,0.5
2022_13_BUF_NE,2022,13,4569173,0.3617239525803596,61.8,0,1,0,4,3,0.25,0.5
2022_13_CLE_HOU,2022,13,3128720,0.6034378314889557,90.1,0,0,0,1,1,0.0,0.0
2022_13_DEN_BAL,2022,13,3051926,0.3175819337201444,50.5,0,0,0,1,1,0.0,0.0
2022_13_GB_CHI,2022,13,4362887,0.5000216009261393,57.0,1,1,0,4,4,0.25,0.5
2022_13_IND_DAL,2022,13,3051392,0.5383490004131541,73.9,1,1,0,7,7,0.2857142857142857,0.2857142857142857
2022_13_JAX_DET,2022,13,2980453,0.5222999568404821,64.9,1,1,1,4,4,0.25,0.25
2022_13_KC_CIN,2022,13,15847,0.4169575895638664,49.3,0,1,1,6,6,0.16666666666666666,0.16666666666666666
2022_13_LAC_LV,2022,13,4047365,0.6756409442389375,57.8,1,1,1,3,3,0.3333333333333333,0.6666666666666666
2022_13_MIA_SF,2022,13,3126486,0.45377466419984114,58.8,0,1,1,4,4,0.25,0.25
2022_13_NYJ_MIN,2022,13,3116593,0.33172429317405094,55.7,1,1,1,4,3,0.25,0.25
2022_13_PIT_ATL,2022,13,4241457,0.4253128466843683,70.3,0,0,0,2,2,0.0,0.0
2022_13_SEA_LA,2022,13,4567048,0.541489860145852,86.3,0,1,0,4,3,0.25,0.5
2022_13_TEN_PHI,2022,13,4047646,0.43279186252032764,56.9,1,1,0,5,5,0.2,0.4
2022_13_WAS_NYG,2022,13,3929630,0.4088305515510272,100.0,1,1,1,4,2,0.25,0.25
2022_13_NO_TB,2022,13,3054850,0.3404801346625508,65.9,0,0,0,3,3,0.0,0.0
2022_14_LV_LA,2022,14,16800,0.6170018664220344,77.3,0,1,1,3,1,0.3333333333333333,0.3333333333333333
2022_14_BAL_PIT,2022,14,3116365,0.2703238602390464,55.6,0,0,1,3,3,0.0,0.3333333333333333
2022_14_CAR_SEA,2022,14,4047650,0.37625150309925715,49.7,1,1,0,6,6,0.16666666666666666,0.3333333333333333
2022_14_CLE_CIN,2022,14,4362628,0.49065304915854924,49.0,1,1,0,4,4,0.25,0.25
2022_14_HOU_DAL,2022,14,3051392,0.5657646523570883,71.1,1,1,1,4,4,0.5,0.5
2022_14_JAX_TEN,2022,14,3043078,0.42527259956122476,55.9,1,1,1,6,6,0.16666666666666666,0.16666666666666666
2022_14_KC_DEN,2022,14,4361529,0.4273059443326961,54.7,0,0,0,4,4,0.0,0.0
2022_14_MIA_LAC,2022,14,3068267,0.5061258983880806,69.6,1,1,1,3,3,0.6666666666666666,0.6666666666666666
2022_14_MIN_DET,2022,14,2980453,0.5481162223202692,63.4,0,1,1,7,6,0.14285714285714285,0.14285714285714285
2022_14_NYJ_BUF,2022,14,4040761,0.39968092145506007,82.1,0,1,1,3,3,0.3333333333333333,0.6666666666666666
2022_14_PHI_NYG,2022,14,4040715,0.49837594553266573,70.7,1,1,0,8,8,0.25,0.375
2022_14_TB_SF,2022,14,3126486,0.36591215568365354,56.2,1,1,1,5,5,0.4,0.6
